City,Country,Lat,Temp,Cloudiness,Humidity,WindSpeed,Date
puerto ayora,EC,-0.74,75.2,40.0,69.0,10.29,1603837340
bethel,US,41.37,53.6,40.0,54.0,3.36,1603837199
yellowknife,CA,62.46,17.6,75.0,67.0,6.93,1603837361
chuy,UY,-33.7,61.72,100.0,94.0,14.05,1603837335
albany,US,42.6,48.99,100.0,64.0,2.39,1603837260
puerto cabezas,NI,14.04,80.6,40.0,94.0,4.7,1603837368
samarai,PG,-10.62,81.93,25.0,83.0,8.88,1603837088
saint-philippe,RE,-21.36,73.4,0.0,64.0,5.82,1603837368
qaqortoq,GL,60.72,32.0,100.0,99.0,1.12,1603837345
longyearbyen,SJ,78.22,32.0,75.0,93.0,3.36,1603837352
vanavara,RU,60.34,20.73,100.0,92.0,10.29,1603837362
northam,GB,51.03,48.99,15.0,84.0,11.99,1603837369
bekovo,RU,52.47,32.81,21.0,89.0,7.9,1603837369
paamiut,GL,61.99,27.75,68.0,85.0,18.25,1603837369
cayenne,GF,4.93,84.2,0.0,74.0,9.17,1603837064
sabang,ID,5.89,82.02,94.0,73.0,18.05,1603837369
olafsvik,IS,64.89,39.92,94.0,69.0,18.86,1603837369
kodiak,US,57.79,46.4,20.0,49.0,10.29,1603837348
eureka,US,40.8,73.99,1.0,42.0,6.93,1603837370
ewa beach,US,21.32,82.4,40.0,69.0,3.36,1603837370
hermanus,ZA,-34.42,61.0,100.0,92.0,4.83,1603837337
umm kaddadah,SD,13.6,84.61,0.0,19.0,14.52,1603837370
ushuaia,AR,-54.8,46.4,20.0,42.0,11.41,1603836776
butaritari,KI,3.07,81.16,100.0,66.0,5.41,1603837336
bom jardim,BR,-7.8,75.2,40.0,78.0,18.34,1603837370
santa cruz,BO,-17.8,86.0,0.0,45.0,14.99,1603837314
severo-kurilsk,RU,50.68,43.63,13.0,83.0,5.84,1603837371
luganville,VU,-15.53,82.4,40.0,74.0,6.93,1603837371
san carlos de bariloche,AR,-41.15,42.8,40.0,70.0,21.92,1603837371
isabela,PH,6.71,77.0,75.0,83.0,6.93,1603837371
hobart,AU,-42.88,55.99,75.0,81.0,1.12,1603836998
vanimo,PG,-2.67,81.28,99.0,73.0,4.54,1603837371
itigi,TZ,-5.7,67.89,21.0,66.0,9.31,1603837371
rikitea,PF,-23.12,75.38,100.0,83.0,17.0,1603837340
avarua,CK,-21.21,69.8,100.0,94.0,8.05,1603836776
punta arenas,CL,-53.15,46.4,0.0,58.0,21.92,1603837351
cabildo,AR,-38.48,64.99,96.0,51.0,1.99,1603837372
san cristobal,VE,7.77,87.8,40.0,55.0,10.29,1603837360
jamestown,US,42.1,45.0,90.0,87.0,8.05,1603836776
mar del plata,AR,-38.0,62.6,0.0,45.0,10.29,1603837149
sisimiut,GL,66.94,18.39,0.0,88.0,9.46,1603837372
halifax,CA,44.65,42.01,56.0,87.0,8.99,1603837236
khatanga,RU,71.97,-3.14,66.0,92.0,10.87,1603837372
saskylakh,RU,71.92,5.25,100.0,93.0,10.25,1603837361
lasa,IT,46.62,43.0,0.0,92.0,3.36,1603837373
sahuaripa,MX,29.05,65.28,0.0,22.0,4.52,1603837373
san quintin,MX,30.48,70.65,0.0,23.0,9.69,1603837373
